match_id,team1,team2,venue,toss_winner,toss_decision,team1_score,team2_score,team1_wickets,team2_wickets,overs,match_type,team1_ranking,team2_ranking,team1_form,team2_form,winner
1,England,South Africa,Mumbai,South Africa,field,151,149,4,8,20,T20,1,8,2,0,England
2,Oman,South Africa,London,Oman,bat,127,190,10,6,20,T20,7,2,0,3,South Africa
3,New Zealand,South Africa,Auckland,New Zealand,bat,178,144,8,3,20,T20,6,6,3,1,New Zealand
4,South Africa,India,Sydney,South Africa,bat,131,153,5,10,20,T20,5,3,3,1,India
5,England,New Zealand,Muscat,New Zealand,field,285,265,5,8,50,ODI,6,10,1,1,England
6,England,Australia,London,England,field,292,269,7,4,50,ODI,8,3,2,3,England
7,South Africa,Australia,Muscat,South Africa,bat,268,210,4,9,50,ODI,7,9,1,2,South Africa
8,Australia,Oman,Muscat,Oman,bat,190,162,9,5,20,T20,7,10,2,2,Australia
9,South Africa,England,Muscat,England,field,266,230,6,10,50,ODI,2,1,3,1,South Africa
10,India,England,Auckland,India,field,122,160,10,5,20,T20,7,5,0,1,England
11,India,Australia,Delhi,Australia,field,271,216,7,3,50,ODI,10,2,1,5,India
12,South Africa,New Zealand,Auckland,South Africa,bat,226,236,7,8,50,ODI,1,2,4,5,New Zealand
13,Australia,England,Muscat,England,bat,223,222,7,9,50,ODI,4,5,3,0,Australia
14,Australia,Afghanistan,Cape Town,Australia,field,203,298,7,9,50,ODI,5,2,0,2,Afghanistan
15,India,New Zealand,London,India,field,350,214,6,9,50,ODI,9,1,4,5,India
16,Afghanistan,Australia,Dubai,Australia,bat,131,152,5,6,20,T20,4,9,0,2,Australia
17,Afghanistan,India,Auckland,Afghanistan,field,237,304,8,8,50,ODI,2,5,4,0,India
18,Oman,New Zealand,Chennai,Oman,bat,319,218,6,8,50,ODI,6,7,5,1,Oman
19,New Zealand,Afghanistan,Sydney,Afghanistan,field,212,266,6,8,50,ODI,5,9,1,3,Afghanistan
20,Oman,Australia,Muscat,Australia,field,206,348,7,4,50,ODI,2,7,2,0,Australia
21,New Zealand,England,Delhi,England,bat,181,148,8,7,20,T20,1,1,5,0,New Zealand
22,England,Afghanistan,Chennai,England,bat,338,271,10,7,50,ODI,10,6,5,5,England
23,South Africa,New Zealand,Chennai,New Zealand,field,270,310,9,4,50,ODI,5,4,1,1,New Zealand
24,Afghanistan,Oman,Chennai,Oman,bat,173,189,8,7,20,T20,3,6,1,2,Oman
25,Afghanistan,India,Cape Town,India,bat,173,181,5,8,20,T20,1,10,5,4,India
26,India,England,Sydney,England,field,250,302,10,8,50,ODI,1,4,0,4,England
27,England,New Zealand,Dubai,England,bat,169,121,5,5,20,T20,10,10,5,0,England
28,South Africa,England,London,England,field,241,320,9,4,50,ODI,9,3,0,0,England
29,India,South Africa,London,South Africa,bat,164,164,9,3,20,T20,6,4,3,1,South Africa
30,Afghanistan,Australia,Delhi,Australia,field,237,286,5,3,50,ODI,2,3,2,4,Australia
31,New Zealand,England,Sydney,New Zealand,field,326,214,6,9,50,ODI,3,9,1,4,New Zealand
32,New Zealand,Afghanistan,Muscat,Afghanistan,bat,170,143,3,6,20,T20,4,4,3,5,New Zealand
33,New Zealand,Afghanistan,Dubai,New Zealand,field,296,244,10,9,50,ODI,4,7,0,2,New Zealand
34,England,South Africa,Cape Town,England,bat,160,158,8,3,20,T20,6,5,2,3,England
35,Oman,Australia,Muscat,Australia,bat,166,198,9,8,20,T20,9,8,0,3,Australia
36,Afghanistan,India,Auckland,Afghanistan,field,221,260,7,4,50,ODI,3,1,5,4,India
37,India,Afghanistan,Cape Town,Afghanistan,field,184,191,4,9,20,T20,2,3,4,5,Afghanistan
38,Afghanistan,England,Mumbai,Afghanistan,bat,126,194,7,9,20,T20,3,9,5,3,England
39,Afghanistan,England,Muscat,England,field,267,204,5,3,50,ODI,3,2,3,0,Afghanistan
40,New Zealand,Afghanistan,Cape Town,Afghanistan,bat,145,134,9,3,20,T20,5,4,1,3,New Zealand
41,Australia,South Africa,Auckland,South Africa,field,125,185,6,6,20,T20,1,10,4,1,South Africa
42,Oman,Afghanistan,Delhi,Afghanistan,field,203,213,8,8,50,ODI,4,1,3,5,Afghanistan
43,South Africa,Afghanistan,Auckland,South Africa,field,307,313,8,7,50,ODI,9,7,0,0,Afghanistan
44,India,Oman,Chennai,India,bat,284,241,6,7,50,ODI,6,1,5,0,India
45,Afghanistan,Australia,Mumbai,Afghanistan,bat,200,161,6,9,20,T20,5,3,1,2,Afghanistan
46,Australia,Afghanistan,Mumbai,Australia,bat,327,213,8,10,50,ODI,9,10,3,4,Australia
47,India,Oman,Auckland,India,field,139,122,10,6,20,T20,6,5,4,0,India
48,India,New Zealand,Cape Town,India,bat,131,122,6,3,20,T20,3,6,1,5,India
49,England,Afghanistan,Mumbai,England,bat,164,183,8,10,20,T20,5,8,5,2,Afghanistan
50,Australia,England,Mumbai,England,field,175,160,9,7,20,T20,10,3,5,5,Australia
51,England,Australia,Chennai,England,field,317,325,9,7,50,ODI,5,3,3,5,Australia
52,New Zealand,Australia,Chennai,New Zealand,bat,277,325,8,9,50,ODI,7,6,3,2,Australia
53,England,Oman,Dubai,Oman,field,131,141,6,3,20,T20,9,2,0,5,Oman
54,Afghanistan,Oman,Mumbai,Oman,field,132,171,6,3,20,T20,4,5,5,5,Oman
55,Australia,Afghanistan,Muscat,Australia,field,150,133,9,4,20,T20,3,9,5,5,Australia
56,Australia,Oman,London,Australia,bat,214,328,7,5,50,ODI,2,9,2,5,Oman
57,New Zealand,Oman,Mumbai,Oman,field,189,182,7,9,20,T20,7,9,3,3,New Zealand
58,India,Australia,Muscat,Australia,bat,189,137,9,10,20,T20,5,4,4,2,India
59,England,New Zealand,Mumbai,New Zealand,bat,281,228,7,9,50,ODI,9,3,1,0,England
60,India,England,Auckland,India,field,214,331,8,9,50,ODI,4,1,5,1,England
61,New Zealand,Afghanistan,Cape Town,New Zealand,field,311,201,3,6,50,ODI,1,4,2,4,New Zealand
62,New Zealand,Afghanistan,London,New Zealand,bat,143,122,8,10,20,T20,9,4,0,4,New Zealand
63,South Africa,England,Cape Town,South Africa,field,326,217,3,3,50,ODI,1,5,2,5,South Africa
64,England,New Zealand,Mumbai,New Zealand,bat,277,214,4,7,50,ODI,4,2,3,4,England
65,New Zealand,Australia,Dubai,New Zealand,field,193,151,8,10,20,T20,6,8,0,0,New Zealand
66,England,Oman,Muscat,England,field,197,130,9,7,20,T20,1,5,5,4,England
67,India,South Africa,Chennai,South Africa,field,183,125,4,7,20,T20,5,10,5,3,India
68,South Africa,Oman,Mumbai,South Africa,field,220,350,8,9,50,ODI,6,4,4,5,Oman
69,South Africa,Australia,Chennai,Australia,bat,129,190,8,6,20,T20,7,7,4,5,Australia
70,South Africa,Oman,Cape Town,South Africa,bat,208,292,5,10,50,ODI,4,8,5,5,Oman
71,England,South Africa,Sydney,South Africa,field,324,286,4,3,50,ODI,7,2,5,2,England
72,India,Afghanistan,Cape Town,Afghanistan,field,239,328,10,10,50,ODI,10,10,0,1,Afghanistan
73,Afghanistan,South Africa,Sydney,Afghanistan,field,173,179,7,6,20,T20,9,9,3,1,South Africa
74,India,Oman,Cape Town,Oman,field,303,347,4,10,50,ODI,5,10,1,1,Oman
75,England,South Africa,Muscat,South Africa,field,239,222,6,6,50,ODI,1,3,4,3,England
76,New Zealand,Afghanistan,London,Afghanistan,bat,189,161,9,6,20,T20,2,2,2,3,New Zealand
77,India,Australia,Muscat,Australia,bat,336,252,9,10,50,ODI,7,7,3,3,India
78,South Africa,Australia,Chennai,Australia,field,279,246,9,3,50,ODI,7,1,5,2,South Africa
79,India,Afghanistan,Dubai,Afghanistan,bat,255,221,5,7,50,ODI,9,8,4,5,India
80,New Zealand,Australia,Sydney,New Zealand,bat,156,121,5,4,20,T20,2,1,2,3,New Zealand
81,New Zealand,Afghanistan,London,New Zealand,bat,262,251,8,10,50,ODI,6,1,0,2,New Zealand
82,South Africa,Australia,Dubai,Australia,field,223,298,3,4,50,ODI,6,7,0,0,Australia
83,India,Afghanistan,London,Afghanistan,bat,227,228,4,5,50,ODI,4,8,5,3,Afghanistan
84,Oman,Afghanistan,Mumbai,Afghanistan,bat,147,159,10,5,20,T20,3,8,3,4,Afghanistan
85,Afghanistan,England,Cape Town,England,field,136,194,6,10,20,T20,8,6,3,3,England
86,England,New Zealand,Delhi,England,bat,160,194,3,5,20,T20,4,8,1,0,New Zealand
87,Australia,England,Muscat,Australia,field,123,144,6,3,20,T20,1,4,2,0,England
88,Afghanistan,New Zealand,Sydney,New Zealand,bat,259,216,4,10,50,ODI,5,1,1,4,Afghanistan
89,England,Australia,Sydney,Australia,field,312,231,10,7,50,ODI,10,2,5,5,England
90,Afghanistan,England,Sydney,England,field,325,315,8,9,50,ODI,9,7,5,3,Afghanistan
91,South Africa,New Zealand,London,New Zealand,field,254,340,4,3,50,ODI,1,7,3,2,New Zealand
92,England,Afghanistan,Chennai,England,field,272,280,3,9,50,ODI,3,4,3,4,Afghanistan
93,South Africa,Australia,Cape Town,Australia,field,166,133,5,10,20,T20,8,9,1,3,South Africa
94,South Africa,Oman,Delhi,South Africa,field,179,122,8,9,20,T20,1,4,1,4,South Africa
95,South Africa,New Zealand,London,South Africa,field,302,267,3,8,50,ODI,8,5,5,5,South Africa
96,India,New Zealand,Sydney,New Zealand,bat,141,168,7,5,20,T20,2,1,1,5,New Zealand
97,New Zealand,Australia,Dubai,Australia,field,243,319,10,7,50,ODI,10,8,4,1,Australia
98,Afghanistan,Australia,Delhi,Afghanistan,field,154,148,8,3,20,T20,2,4,3,2,Afghanistan
99,New Zealand,India,Auckland,India,field,143,173,3,9,20,T20,2,8,2,1,India
100,South Africa,New Zealand,London,New Zealand,field,180,125,7,9,20,T20,9,8,0,2,South Africa
101,Oman,New Zealand,Sydney,New Zealand,bat,290,291,8,10,50,ODI,4,8,4,0,New Zealand
102,England,India,Mumbai,India,field,158,161,7,4,20,T20,3,5,1,0,India
103,Afghanistan,New Zealand,Dubai,New Zealand,field,277,350,4,4,50,ODI,7,1,0,3,New Zealand
104,New Zealand,Australia,Chennai,Australia,field,173,150,3,6,20,T20,5,7,4,1,New Zealand
105,Australia,Oman,Dubai,Australia,bat,349,270,6,3,50,ODI,4,6,2,2,Australia
106,England,South Africa,Cape Town,England,field,258,270,9,5,50,ODI,1,4,1,5,South Africa
107,England,Afghanistan,Auckland,England,field,299,229,5,3,50,ODI,10,9,4,3,England
108,India,Oman,Auckland,India,field,268,308,10,9,50,ODI,3,10,4,1,Oman
109,Afghanistan,New Zealand,Auckland,Afghanistan,bat,195,134,9,5,20,T20,7,10,3,0,Afghanistan
110,Australia,South Africa,London,Australia,bat,206,220,4,6,50,ODI,2,10,3,4,South Africa
111,India,Australia,Cape Town,Australia,field,274,293,10,9,50,ODI,8,6,5,5,Australia
112,Afghanistan,Australia,Mumbai,Afghanistan,field,133,190,7,3,20,T20,9,2,2,1,Australia
113,South Africa,New Zealand,Delhi,South Africa,bat,122,195,3,9,20,T20,6,4,5,1,New Zealand
114,Australia,England,Muscat,Australia,field,132,134,7,6,20,T20,7,6,1,2,England
115,Oman,New Zealand,Mumbai,New Zealand,field,259,207,3,5,50,ODI,1,6,4,1,Oman
116,England,New Zealand,Chennai,New Zealand,bat,315,236,3,8,50,ODI,7,4,3,2,England
117,Australia,England,Mumbai,Australia,field,209,237,9,9,50,ODI,2,6,5,1,England
118,New Zealand,Australia,Mumbai,Australia,bat,242,322,5,10,50,ODI,6,5,1,2,Australia
119,New Zealand,Australia,Chennai,Australia,bat,155,187,10,8,20,T20,1,2,2,5,Australia
120,Australia,New Zealand,Dubai,Australia,field,339,290,8,5,50,ODI,9,3,1,0,Australia
121,Oman,England,Mumbai,England,field,313,221,5,3,50,ODI,6,7,5,4,Oman
122,Afghanistan,South Africa,Cape Town,South Africa,bat,304,268,10,4,50,ODI,10,2,4,0,Afghanistan
123,Oman,India,London,India,bat,345,233,6,4,50,ODI,8,3,0,2,Oman
124,New Zealand,South Africa,Muscat,South Africa,field,345,269,3,4,50,ODI,9,10,4,1,New Zealand
125,India,England,Chennai,India,bat,155,175,10,7,20,T20,8,5,1,0,England
126,New Zealand,Afghanistan,Dubai,Afghanistan,bat,148,167,8,4,20,T20,8,3,3,1,Afghanistan
127,India,Afghanistan,London,Afghanistan,field,217,319,7,3,50,ODI,8,5,3,1,Afghanistan
128,England,Afghanistan,Dubai,England,bat,317,237,8,4,50,ODI,9,6,5,4,England
129,South Africa,India,Sydney,India,field,264,253,3,9,50,ODI,8,6,3,3,South Africa
130,Afghanistan,South Africa,Delhi,South Africa,bat,193,183,9,9,20,T20,5,1,1,1,Afghanistan
131,South Africa,England,Auckland,South Africa,field,321,331,5,9,50,ODI,9,5,5,0,England
132,Oman,England,Chennai,Oman,bat,143,175,10,9,20,T20,3,6,3,3,England
133,South Africa,Australia,Chennai,Australia,bat,126,166,3,5,20,T20,3,10,3,3,Australia
134,Australia,South Africa,Cape Town,Australia,bat,161,194,10,8,20,T20,7,10,3,1,South Africa
